桥ID,古桥名称,建造年代,经度,纬度,所在省份,桥型,材质,长度,跨度,保护级别,数据来源,建造朝代,地理区域,桥梁时代,规模分类,故事,
br_28a8e456d43f,同里富观桥,1620,120.7333,31.1667,江苏,石拱桥,石,29,7,市级,吴江档案,明清时期,华东,古代,小型,"同里富观桥
历史背景：同里富观桥位于江苏，档案中多记其建于1620，属明清时期，地处华东一带，为石拱桥。据《吴江档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约29米，跨度约7米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_6976f4f6ac3d,甪直正阳桥,1425,120.8,31.2667,江苏,石拱桥,石,38,9,市级,吴中文物局,明清时期,华东,古代,小型,"甪直正阳桥
历史背景：甪直正阳桥位于江苏，档案中多记其建于1425，属明清时期，地处华东一带，为石拱桥。据《吴中文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约38米，跨度约9米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_1a2a4a8619fd,黄山排云桥,1680,118.1667,30.15,安徽,石拱桥,石,22,6,市级,黄山管委会,明清时期,华东,古代,小型,"黄山排云桥
历史背景：黄山排云桥位于安徽，档案中多记其建于1680，属明清时期，地处华东一带，为石拱桥。据《黄山管委会》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约22米，跨度约6米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_6d3111478f43,西递宏村桥,1560,117.95,29.9167,安徽,石拱桥,石,26,7,国家级,黟县文物局,明清时期,华东,古代,小型,"西递宏村桥
历史背景：西递宏村桥位于安徽，档案中多记其建于1560，属明清时期，地处华东一带，为石拱桥。据《黟县文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约26米，跨度约7米；在现表中多归为小型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_8c62644de320,九华山迎仙桥,1480,117.8,30.4833,安徽,石拱桥,石,32,8,市级,九华山档案,明清时期,华东,古代,小型,"九华山迎仙桥
历史背景：九华山迎仙桥位于安徽，档案中多记其建于1480，属明清时期，地处华东一带，为石拱桥。据《九华山档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约32米，跨度约8米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_09fe18d2889b,龙虎山仙水桥,1520,117.1,28.1,江西,石拱桥,石,36,9,市级,鹰潭文物局,明清时期,华东,古代,小型,"龙虎山仙水桥
历史背景：龙虎山仙水桥位于江西，档案中多记其建于1520，属明清时期，地处华东一带，为石拱桥。据《鹰潭文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约36米，跨度约9米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_7049ae960301,庐山如琴桥,1890,115.95,29.5667,江西,石拱桥,石,42,10,市级,庐山管委会,明清时期,华东,近现代,小型,"庐山如琴桥
历史背景：庐山如琴桥位于江西，档案中多记其建于1890，属近现代，地处华东一带，为石拱桥。据《庐山管委会》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约42米，跨度约10米；在现表中多归为小型桥梁，保护层级为市级，是近现代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_df9558d3bd0c,三清山渡仙桥,1650,118.05,28.9167,江西,石拱桥,石,24,6,市级,三清山档案,明清时期,华东,古代,小型,"三清山渡仙桥
历史背景：三清山渡仙桥位于江西，档案中多记其建于1650，属明清时期，地处华东一带，为石拱桥。据《三清山档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约24米，跨度约6米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_e36e8f214df0,小商桥,584,113.9769,33.7744,河南,敞肩单孔石拱桥,石,20.87,11.6,国家级,《临颍县志》,唐宋时期,华北,古代,小型,"小商桥
历史背景：小商桥位于河南，档案中多记其建于584，属唐宋时期，地处华北一带，为敞肩单孔石拱桥。据《临颍县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约20.87米，跨度约11.6米；在现表中多归为小型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_39c1c8431495,朱雀桥,245,118.778,32.0355,江苏,浮桥,木/石,132,15,市级,《建康实录》,六朝时期,华东,古代,中型,"朱雀桥
历史背景：朱雀桥位于江苏，档案中多记其建于245，属六朝时期，地处华东一带，为浮桥。据《建康实录》等资料，可反映当时水陆通行与营造传统。
建筑特点：以木/石为主要用材，桥长约132米，跨度约15米；在现表中多归为中型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_11bfdb03f084,灵汜桥,822,120.456,29.95,浙江,石梁桥,石,97.54,5.3,市级,宁波文物志,唐宋时期,华东,古代,中型,"灵汜桥
历史背景：灵汜桥位于浙江，档案中多记其建于822，属唐宋时期，地处华东一带，为石梁桥。据《宁波文物志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约97.54米，跨度约5.3米；在现表中多归为中型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_2a01beb2ddae,赤湖铺大桥,600,118.2454,32.3259,安徽,单孔砖石拱桥,青砖+青石,60,10,市级,滁州市文物局,唐宋时期,华东,古代,中型,"赤湖铺大桥
历史背景：赤湖铺大桥位于安徽，档案中多记其建于600，属唐宋时期，地处华东一带，为单孔砖石拱桥。据《滁州市文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以青砖+青石为主要用材，桥长约60米，跨度约10米；在现表中多归为中型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_9c9aa1c92faf,赵县永通桥,766,114.7176,37.7557,河北,单孔并列卷敞肩式石桥,石,32,26,国家级,《赵县志》,唐宋时期,华北,古代,小型,"赵县永通桥
历史背景：赵县永通桥位于河北，档案中多记其建于766，属唐宋时期，地处华北一带，为单孔并列卷敞肩式石桥。据《赵县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约32米，跨度约26米；在现表中多归为小型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_82c8728a78d9,迥龙桥,901,119.6045,26.0158,福建,五孔石构平梁桥,石梁,65.65,12,省级,福州文物档案,唐宋时期,华东,古代,中型,"迥龙桥
历史背景：迥龙桥位于福建，档案中多记其建于901，属唐宋时期，地处华东一带，为五孔石构平梁桥。据《福州文物档案》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石梁为主要用材，桥长约65.65米，跨度约12米；在现表中多归为中型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_295fbc44cc90,流花桥,950,113.2645,23.1462,广东,梁式桥,石,5.48,4,区级,广州市越秀区文物局,宋元时期,华南,古代,小型,"流花桥
历史背景：流花桥位于广东，档案中多记其建于950，属宋元时期，地处华南一带，为梁式桥。据《广州市越秀区文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约5.48米，跨度约4米；在现表中多归为小型桥梁，保护层级为区级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_b4fdeb25d0a0,厨城门一号桥,1000,108.9185,34.3120,陕西,木梁桂桥,木材,880,无,国家级,汉长安城考古报告,宋元时期,西北,古代,大型,"厨城门一号桥
厨城门一号桥是位于陕西省西安市未央区的秦汉时期木石结构桥梁遗址，横跨渭河故道，正对汉长安城厨城门而得名。该桥为南北走向，全长约880米，桥面宽15.4米，始建于秦代，汉代为主要使用时期，延续使用时间逾千年 。2012年发现于汉长安城北渭河遗址群，现存桥桩残长6.2―8.8米，底部削成三角锥形楔入河床，桥桩间距3―7米，存在密集排列及高度差异，表明历经多次维修续建 。
考古证实其为迄今发现的规模最大的秦汉木梁柱桥遗址，采用五边形石构件分流激流，结构类似都江堰鱼嘴 。该桥为丝绸之路起点首座桥梁，张骞出使西域时曾通行于此 。2017年因非法挖砂导致遗址本体受损11%，后经司法介入实施保护 。出土文物包括秦汉至清代钱币、汉代石刻朱雀、青龙/白虎浮雕及古船构件，为研究渭河水系变迁、都城交通及古代工程技术提供了关键实证.
历史沿革
厨城门一号桥遗址于2012年4月上旬，在西安市北郊汉长安城遗址北侧渭河故道的鱼塘挖沙中被发现暴露的木桩，后经调查确认为古桥遗存，并测量确定南对汉长安城北侧城门厨城门，编号“厨城门一号桥”。 从考古人员清理出的桥梁所在河道堆积物及出土的半两、五铢、开元通宝、乾元重宝、皇宋通宝等历代钱币推测，该桥可能始建于秦，为汉使用，沿用到唐或更晚的宋代，之后废弃，前后延续达一千余年。
桥桩测年显示，样品中南排多为杉木（云杉属、冷杉属）的桥桩，年代大体相当于西汉中期至东汉初期；北侧一排多为侧柏属桥桩，年代较晚，相当于东汉至魏晋时期。 结合多处桥桩密集及顶部高度相差达2米左右的现象，印证了该桥使用时间极长，曾经过多次维修与续建。 桥桩用材经鉴定主要有侧柏属、云杉属、冷杉属、桢楠属、香椿属等树种。
至迟到清代康熙、乾隆年间，渭河主河道仍流经该桥区域，出土有该时期“康熙通宝”、“乾隆通宝”钱币及青花瓷片。 之后渭河主河道大规模北移，北移的时间从康熙年间推移至乾隆年间，在约200多年间北移了3000多米，桥梁因此被废弃并掩埋。
该桥被认为是丝绸之路从汉长安城出发后的第一座桥梁，有专家指出建元二年张骞出使西域时可能经由此桥。 因其规模、位置与文献记载相符，有学者推测厨城门一号桥很可能就是历史上著名的“横桥”或“中渭桥”。",
br_6433090a6b53,凤翔渭水浮桥,1134,107.38,34.53,陕西,浮桥,木,无,无,无名碑,宋元时期,宋元时期,古代,大型,,"凤翔渭水浮桥（北宋嘉祐重修）
渭水浮桥是中国现存文献记载最早的桥梁，属西周初期临时性浮桥设施。相传为周文王迎亲所建，采用多艘船只并排捆绑、船面铺设木板的构造方式，近岸船只通过绳索与两岸木桩固定，形成跨越渭水的通道 。
以舟船为基、绳木为材的结构形式开创了浮桥建筑形制先河，其“不需桥墩和良好地基”的技术特性成为后世浮桥发展的基础参照 。现存遗迹虽已不可考，但通过《诗经》等文献记载确认其历史地位，为研究中国古代浮桥起源提供关键案例 。",
br_5252d99b601f,淳源桥,1082,118.5354,30.2889,安徽,五孔石拱桥,青石,50,7,省级,《旌德县志》,宋元时期,华东,古代,中型,"淳源桥
历史背景：淳源桥位于安徽，档案中多记其建于1082，属宋元时期，地处华东一带，为五孔石拱桥。据《旌德县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以青石为主要用材，桥长约50米，跨度约7米；在现表中多归为中型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_957249595d72,行唐升仙桥,1090,114.56,38.43,河北,单孔砾石拱桥,石,15.3,11.3,省级,《行唐县志》,宋元时期,华北,古代,小型,"行唐升仙桥
历史背景：行唐升仙桥位于河北，档案中多记其建于1090，属宋元时期，地处华北一带，为单孔砾石拱桥。据《行唐县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约15.3米，跨度约11.3米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_9e8aa95e4e9a,白鹘桥,1095,121.56,29.85,浙江,单孔石梁平桥,石,3.6,3.5,区级,宁波市鄞州区文物局,宋元时期,华东,古代,小型,"白鹘桥
历史背景：白鹘桥位于浙江，档案中多记其建于1095，属宋元时期，地处华东一带，为单孔石梁平桥。据《宁波市鄞州区文物局》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约3.6米，跨度约3.5米；在现表中多归为小型桥梁，保护层级为区级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_77d11d77885c,全椒高公桥,1096,118.28,32.08,安徽,单孔石拱桥,石,25,8,省级,《全椒县志》,宋元时期,华东,古代,小型,"全椒高公桥
历史背景：全椒高公桥位于安徽，档案中多记其建于1096，属宋元时期，地处华东一带，为单孔石拱桥。据《全椒县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约25米，跨度约8米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_cb835a4b07f7,龙江桥,1113,119.4667,25.6306,福建,多孔间支石梁桥,石梁,476,10,国家级,《福清县志》,宋元时期,华东,古代,大型,"龙江桥
历史背景：龙江桥位于福建，档案中多记其建于1113，属宋元时期，地处华东一带，为多孔间支石梁桥。据《福清县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石梁为主要用材，桥长约476米，跨度约10米；在现表中多归为大型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_5f6eccab8dc5,婺源彩虹桥,1127,117.7754,29.4147,江西,无孔廊桥,石,140,7,国家级,《婺源县志》,宋元时期,华东,古代,大型,"婺源彩虹桥
历史背景：婺源彩虹桥位于江西，档案中多记其建于1127，属宋元时期，地处华东一带，为无孔廊桥。据《婺源县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约140米，跨度约7米；在现表中多归为大型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_9feee0f55cee,仙游南门桥,1138,118.704,25.337,福建,多跨石梁桥,石,171,9,县级,《仙游县志》,宋元时期,华东,古代,中型,"仙游南门桥
历史背景：仙游南门桥位于福建，档案中多记其建于1138，属宋元时期，地处华东一带，为多跨石梁桥。据《仙游县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约171米，跨度约9米；在现表中多归为中型桥梁，保护层级为县级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_b8f3d7009ae2,沈园桥,1150,120.587,29.9917,浙江,石梁桥,石,12.5,3.8,市级,《绍兴市志》,宋元时期,华东,古代,小型,"沈园桥
历史背景：沈园桥位于浙江，档案中多记其建于1150，属宋元时期，地处华东一带，为石梁桥。据《绍兴市志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约12.5米，跨度约3.8米；在现表中多归为小型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_372587e78e40,浮桥,1168,114.9327,25.8583,江西,直浮桥,石,429.5,无,省级,《江西省志》,宋元时期,华东,古代,大型,"浮桥
历史背景：浮桥位于江西，档案中多记其建于1168，属宋元时期，地处华东一带，为直浮桥。据《江西省志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约429.5米，跨度见方志与实测待核；在现表中多归为大型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_0842eff18949,合龙桥,1169,118.8284,26.0947,福建,双孔贯木拱廊桥,石,39.5,12.5,省级,《闽清县志》,宋元时期,华东,古代,小型,"合龙桥
历史背景：合龙桥位于福建，档案中多记其建于1169，属宋元时期，地处华东一带，为双孔贯木拱廊桥。据《闽清县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约39.5米，跨度约12.5米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_dbb6f0e1a1ec,厦门同安南门桥,1166,118.1555,24.7289,福建,石拱桥,石,130,8,无,《同安县志》,宋元时期,华东,古代,中型,"厦门同安南门桥
历史背景：厦门同安南门桥位于福建，档案中多记其建于1166，属宋元时期，地处华东一带，为石拱桥。据《同安县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约130米，跨度约8米；在现表中多归为中型桥梁，保护层级为无，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_f783551f2c1f,洪济桥,1183,111.2769,35.8140,山西,石拱廊桥,木/石,17.87,8,国家级,《襄汾县志》,宋元时期,华北,古代,小型,"洪济桥
历史背景：洪济桥位于山西，档案中多记其建于1183，属宋元时期，地处华北一带，为石拱廊桥。据《襄汾县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以木/石为主要用材，桥长约17.87米，跨度约8米；在现表中多归为小型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_86bcc84dbddc,归泗桥,1187,119.8325,27.1241,福建,单孔贯木拱廊屋桥,木/石,21.69,10,省级,《柘荣县志》,宋元时期,华东,古代,小型,"归泗桥
历史背景：归泗桥位于福建，档案中多记其建于1187，属宋元时期，地处华东一带，为单孔贯木拱廊屋桥。据《柘荣县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以木/石为主要用材，桥长约21.69米，跨度约10米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_083cf19e45c9,佛山明元桥,1199,113.1575,22.8126,广东,三孔石拱桥,石,25,6.5,省级,《顺德县志》,宋元时期,华南,古代,小型,"佛山明元桥
历史背景：佛山明元桥位于广东，档案中多记其建于1199，属宋元时期，地处华南一带，为三孔石拱桥。据《顺德县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约25米，跨度约6.5米；在现表中多归为小型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_1e9ff4ddf362,顺济桥,1211,118.5976,24.9005,福建,平梁式石桥,石,500,16.7,省级,《泉州市志》,宋元时期,华东,古代,大型,"顺济桥
历史背景：顺济桥位于福建，档案中多记其建于1211，属宋元时期，地处华东一带，为平梁式石桥。据《泉州市志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约500米，跨度约16.7米；在现表中多归为大型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_292c4030a3bb,江东桥,1214,117.7912,24.5148,福建,多孔间支石梁桥,石梁,284.46,23.4,国家级,《漳州市志》,宋元时期,华东,古代,大型,"江东桥
历史背景：江东桥位于福建，档案中多记其建于1214，属宋元时期，地处华东一带，为多孔间支石梁桥。据《漳州市志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石梁为主要用材，桥长约284.46米，跨度约23.4米；在现表中多归为大型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_6d77103fee22,歙县太平桥,1234,118.4344,29.8631,安徽,16墩联拱石桥,石,294,8,国家级,《歙县志》,宋元时期,华东,古代,大型,"太平桥
歙县太平桥，又名河西桥、庆丰桥、寡妇桥等 ，位于安徽省黄山市歙县徽城镇徽州古城南边的练江上，于南宋端平元年（1234年）由当时徽州知府刘炳建造。
歙县太平桥为联拱式大型石拱桥，共16孔，孔径12.4～16米，全长294米，行车道宽6.9米，桥高20余米，桥体与分水尖采用红色粉砂岩砌筑，桥面及石栏板为青色泥灰质角砾叠砌。桥洞用长条石横列环砌，下部为重力式嫩台，上部为实腹式石拱。
1981年，歙县太平桥被安徽省公布为省级重点文物保护单位。 2019年10月7日，歙县太平桥被中华人民共和国国务院公布为第八批全国重点文物保护单位。",
br_9b96962e62de,常宁西门桥,1244,112.39,26.41,湖南,五拱石桥,石,67.4,7,无,《常宁县志》,宋元时期,华中,古代,中型,"常宁西门桥
历史背景：常宁西门桥位于湖南，档案中多记其建于1244，属宋元时期，地处华中一带，为五拱石桥。据《常宁县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约67.4米，跨度约7米；在现表中多归为中型桥梁，保护层级为无，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_92474ac00ff7,后门桥,1285,116.3961,39.9363,北京,单孔石拱桥,石,34.6,7.2,国家级,《北京通史》,宋元时期,华北,古代,小型,"后门桥
后门桥原称万宁桥，位于北京的中轴线上，在地安门以北，鼓楼以南的位置。由于与前门南北相对，京城百姓俗称地安门为后门，因而此桥也叫后门桥。桥始建于元代的至元二十二年(1285年)，开始为木桥，后改为单孔石桥。元代在北京建都城大都后，为解决漕运，在郭守敬的指挥下，引昌平白浮泉水入城，修建了通惠河，由南方沿大运河北上的漕运船只，经通惠河可直接驶入大都城内的积水潭。而万宁桥是积水潭的入口，并且设有闸口，漕船要进入积水潭，必须从桥下经过。万宁桥在当时所起的作用是巨大的。由于交通便利，又毗邻皇城，加之景色不逊江南，因此，当时万宁桥附近商肆画舫云集，丝竹悦耳，酒香醉人，好一派繁华景象。万宁桥在元大都的建筑设施中具有重要的地位，它也是北京漕运历史的见证。
",
br_649f10ff7d8a,宁海桥,1334,119.0132,25.4155,福建,平梁式石桥,条石,225.7,10,国家级,《莆田县志》,宋元时期,华东,古代,大型,"宁海桥
历史背景：宁海桥位于福建，档案中多记其建于1334，属宋元时期，地处华东一带，为平梁式石桥。据《莆田县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以条石为主要用材，桥长约225.7米，跨度约10米；在现表中多归为大型桥梁，保护层级为国家级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_1394d3ee9423,黔西滴澄桥,1600,106.08,27.04,贵州,三孔石拱桥,石板,40,8,无,《黔西县志》,明清时期,西南,古代,中型,"黔西滴澄桥
历史背景：黔西滴澄桥位于贵州，档案中多记其建于1600，属明清时期，地处西南一带，为三孔石拱桥。据《黔西县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石板为主要用材，桥长约40米，跨度约8米；在现表中多归为中型桥梁，保护层级为无，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_ac343bc35aba,灞陵桥,1368,105.1234,34.5678,甘肃,单孔石拱桥,石,40,27.4,市级,《渭源县志》,明清时期,西北,古代,中型,"灞陵桥
历史背景：灞陵桥位于甘肃，档案中多记其建于1368，属明清时期，地处西北一带，为单孔石拱桥。据《渭源县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石为主要用材，桥长约40米，跨度约27.4米；在现表中多归为中型桥梁，保护层级为市级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
br_25571b82779d,镇安桥,1228,118.5243,27.9126,福建,石墩木梁廊屋桥,石/木,92.7,9,省级,《泰宁县志》,宋元时期,华东,古代,中型,"镇安桥
历史背景：镇安桥位于福建，档案中多记其建于1228，属宋元时期，地处华东一带，为石墩木梁廊屋桥。据《泰宁县志》等资料，可反映当时水陆通行与营造传统。
建筑特点：以石/木为主要用材，桥长约92.7米，跨度约9米；在现表中多归为中型桥梁，保护层级为省级，是古代桥梁技术与使用功能的实物例证之一。
文化价值：作为交通与遗产载体，该桥有助于研读地方史、桥型演变与文物保护；参观时请遵守现场规定，勿刻画污损。",
